Timestamp,index,Weight,mice,count
2023-05-24 20:35:36.360,1573980,17015803217322121651001161561870,a,1
2023-05-24 20:35:38.380,1574001,17015803217322121651001161561870,a,1
2023-05-24 20:38:21.210,1575636,17015803217322121651001161561870,a,1
2023-05-24 20:38:24.240,1575661,17015803217322121651001161561870,a,1
2023-05-24 20:38:27.270,1575700,1701580321732212165101243261870,b,1
2023-05-24 20:38:29.290,1575723,1701580321732212165101243261870,b,1
2023-05-24 20:39:07.070,1576100,1701580321732212165101302471870,c,1
2023-05-24 20:39:08.080,1576121,1701580321732212165101302471870,c,1
2023-05-24 20:40:06.060,1576700,1701580321732212165101302471870,c,1
2023-05-24 20:40:07.070,1576711,1701580321732212165101302471870,c,1
2023-05-24 20:42:57.570,1578406,1701580321732212165101302471870,c,1
2023-05-24 20:42:58.580,1578419,1701580321732212165101302471870,c,1
2023-05-24 20:43:02.020,1578462,1701580321732212165101302471870,c,1
2023-05-24 20:43:03.030,1578473,1701580321732212165101302471870,c,1
2023-05-24 20:49:44.440,1582470,1701580321732212165101302471870,c,1
2023-05-24 20:49:44.440,1582481,1701580321732212165101302471870,c,1
2023-05-24 20:50:29.290,1582926,1701580321732212165101302471870,c,1
2023-05-24 20:50:30.300,1582937,1701580321732212165101302471870,c,1
2023-05-24 21:00:03.030,1588644,1701580321732212165101302471870,c,1
2023-05-24 21:00:04.040,1588659,1701580321732212165101302471870,c,1
2023-05-24 21:00:56.560,1589178,1701580321732212165101302471870,c,1
2023-05-24 21:00:57.570,1589197,1701580321732212165101302471870,c,1
2023-05-24 21:01:08.080,1589306,1701580321732212165101243261870,b,1
2023-05-24 21:01:09.090,1589321,1701580321732212165101243261870,b,1
2023-05-24 21:02:36.360,1590190,1701580321732212165101243261870,b,1
2023-05-24 21:02:37.370,1590211,1701580321732212165101243261870,b,1
2023-05-24 21:10:39.390,1595008,1701580321732212165101302471870,c,1
2023-05-24 21:10:41.410,1595029,1701580321732212165101302471870,c,1
2023-05-24 21:10:55.550,1595170,1701580321732212165101302471870,c,1
2023-05-24 21:10:58.580,1595205,1701580321732212165101302471870,c,1
2023-05-24 21:28:39.390,1605774,1701580321732212165101302471870,c,1
2023-05-24 21:28:40.400,1605787,1701580321732212165101302471870,c,1
2023-05-24 21:29:28.280,1606268,1701580321732212165101302471870,c,1
2023-05-24 21:29:29.290,1606279,1701580321732212165101302471870,c,1
2023-05-24 21:38:23.230,1611602,1701580321732212165101302471870,c,1
2023-05-24 21:38:24.240,1611615,1701580321732212165101302471870,c,1
2023-05-24 21:39:06.060,1612038,1701580321732212165101302471870,c,1
2023-05-24 21:39:08.080,1612059,1701580321732212165101302471870,c,1
2023-05-24 21:50:50.500,1619054,1701580321732212165101302471870,c,1
2023-05-24 21:50:52.520,1619073,1701580321732212165101302471870,c,1
2023-05-24 21:52:49.490,1620238,1701580321732212165101302471870,c,1
2023-05-24 21:52:50.500,1620255,1701580321732212165101302471870,c,1
2023-05-24 21:52:58.580,1620338,1701580321732212165101302471870,c,1
2023-05-24 21:56:00.000,1622157,1701580321732212165101302471870,c,1
2023-05-24 21:56:02.020,1622176,1701580321732212165101302471870,c,1
2023-05-24 21:57:38.380,1623137,1701580321732212165101302471870,c,1
2023-05-24 21:57:39.390,1623154,1701580321732212165101302471870,c,1
2023-05-24 22:34:04.040,1644905,1701580321732212165101302471870,c,1
2023-05-24 22:34:05.050,1644918,1701580321732212165101302471870,c,1
2023-05-24 22:34:48.480,1645351,1701580321732212165101302471870,c,1
2023-05-24 22:34:49.490,1645364,1701580321732212165101302471870,c,1
2023-05-24 22:44:13.130,1650979,17015803217322121651001161561870,a,1
2023-05-24 22:44:14.140,1650996,17015803217322121651001161561870,a,1
2023-05-24 22:45:48.480,1651935,17015803217322121651001161561870,a,1
2023-05-24 22:45:50.500,1651956,17015803217322121651001161561870,a,1
2023-05-25 00:27:16.160,1712535,17015803217322121651001161561870,a,1
2023-05-25 00:27:17.170,1712552,17015803217322121651001161561870,a,1
2023-05-25 00:28:53.530,1713515,17015803217322121651001161561870,a,1
2023-05-25 00:28:58.580,1713566,17015803217322121651001161561870,a,1
2023-05-25 00:37:37.370,1718741,1701580321732212165101302471870,c,1
2023-05-25 00:38:22.220,1719184,1701580321732212165101302471870,c,1
2023-05-25 00:38:23.230,1719203,1701580321732212165101302471870,c,1
2023-05-25 00:49:09.090,1725634,1701580321732212165101243261870,b,1
2023-05-25 00:49:12.120,1725669,1701580321732212165101243261870,b,1
2023-05-25 00:50:30.300,1726450,1701580321732212165101243261870,b,1
2023-05-25 00:50:31.310,1726467,1701580321732212165101243261870,b,1
2023-05-25 00:51:16.160,1726916,1701580321732212165101302471870,c,1
2023-05-25 00:51:18.180,1726935,1701580321732212165101302471870,c,1
2023-05-25 00:52:04.040,1727400,1701580321732212165101302471870,c,1
2023-05-25 00:52:05.050,1727413,1701580321732212165101302471870,c,1
2023-05-25 01:01:12.120,1732864,1701580321732212165101302471870,c,1
2023-05-25 01:02:04.040,1733383,1701580321732212165101302471870,c,1
2023-05-25 01:02:05.050,1733400,1701580321732212165101302471870,c,1
2023-05-25 01:04:10.100,1734649,1701580321732212165101243261870,b,1
2023-05-25 01:04:12.120,1734668,1701580321732212165101243261870,b,1
2023-05-25 01:05:25.250,1735395,1701580321732212165101243261870,b,1
2023-05-25 01:05:26.260,1735408,1701580321732212165101243261870,b,1
2023-05-25 02:27:51.510,1784633,1701580321732212165101302471870,c,1
